bookID,average_rating,ratings_count
1429,3.62,1415
1431,3.7,132064
1433,4.02,1658
1437,3.69,65
1438,4.02,102
1439,4.29,489
1440,4.32,208
1441,3.72,610
1444,4.35,38
1445,3.9,154
1449,3.9,24
1459,4.29,35
1461,4.5,2
1462,4.03,4483
1463,4.21,3334
1465,4.21,560
1466,4.4,679
1467,4.17,1464
1468,4,541
1470,4.31,790
1473,4.03,9197
1474,4.23,61
1475,3.87,201
1476,4.14,164
1479,3.88,154
1480,3.78,9
1486,3.63,34
1488,3.86,116
1489,4.1,158
1491,4.26,27
1494,3.83,1950
1495,4.47,30
1499,3.87,367
1504,4.04,23
1506,4.2,5
1509,4.03,29
1510,4.07,25
1511,4.03,12
1515,4.43,46
1516,4.02,712
1517,4.1,389
1518,4.02,77
1519,4.02,28726
1521,4.02,303
1523,4.1,4303
1525,4.02,215
1526,4.02,12
1527,4.1,74
1529,4.03,31
1530,4.02,63
1531,4.1,12
1532,4.02,89
1533,4.1,1
1536,4.14,5032
1537,3.97,553
1538,4.27,2883
1540,3.97,45589
1542,3.97,2979
1546,3.97,109
1547,3.97,52
1548,4.14,135
1549,3.94,13358
1554,3.7,141555
1555,3.97,8
1558,3.7,218
1559,3.7,740
1560,4.06,6086
1561,3.94,96
1562,4.21,1998
1563,3.83,4
1566,3.77,1
1567,3.95,3833
1568,3.42,23
1571,3.75,13
1572,4.07,69
1576,3.94,391
1577,4.03,14
1579,4.21,58
1584,2.8,5
1585,4.07,14
1586,3.85,19
1590,3.6,262
1591,3.85,30604
1592,3.69,42
1595,4.33,5
1618,3.88,1054308
1620,3.64,4067
1625,3.98,138101
1627,3.94,24985
1633,3.99,105507
1634,3.46,75
1642,4.17,240
1643,4.14,331
1645,3.76,69
1646,3.96,1279
1654,3.76,1098
1658,2.83,0
1664,3.5,0
1667,4.05,453
1681,3.92,142
1684,3.92,104
1685,4.04,271
1686,4.27,1643
1693,4.03,2335
1698,3.92,84
1702,3.55,259
1703,3.71,236
1707,3.94,29
1709,4.07,2488
1710,4.07,11
1713,4.05,710
1715,4.05,48223
1718,4.05,30
1720,4.27,229
1721,4.32,32
1722,4.36,78
1725,4.02,98
1728,4.12,432
1729,4.52,61
1730,4.42,813
1731,4.08,12
1744,3.71,7
1750,4.62,12
1752,3.64,36
1761,3.64,264
1771,4.07,14
1796,3.86,30
1800,3.79,122
1801,4.12,32
1804,3.4,10
1805,3.73,10
1814,3.42,1416
1815,4.06,2799
1823,3.95,11990
1824,3.61,10679
1839,4.03,4356
1843,3.87,633
1845,3.98,800349
1846,3.92,55106
1848,4.26,73572
1849,4.01,20909
1850,3.78,2456
1852,3.86,274649
1853,4.17,4541
1856,2.67,9
1869,3.63,168362
